"","churn","usecompetitors","sessions","FF","strategic","callcycle_Every.Other.Month","callcycle_Half.Year","callcycle_Monthly","callcycle_None","callcycle_Quarterly","callcycle_Yearly","Close.Date","First.Deal.Created.Date","Last.Call.Cycle.Date","Time.of.Last.Session","days_live"
"91",0,0,2,1,0,0,0,0,1,0,0,"10/25/2017 19:31","7/18/2018 10:52","","10/25/2019 8:51",847
"92",1,0,8,1,0,0,0,0,1,0,0,"9/7/2018 14:27","3/28/2018 0:00","9/28/2018","10/5/2018 10:53",191
"93",0,0,0,1,0,0,0,0,0,0,1,"5/3/2018 9:57","2/22/2017 0:00","6/13/2019","",1092
"94",0,0,0,1,0,0,0,0,0,0,1,"8/24/2017 16:40","5/9/2017 0:00","6/13/2019","",1016
"95",0,0,3,0,0,0,1,0,0,0,0,"8/24/2017 16:40","5/9/2017 0:00","8/26/2019","5/29/2019 13:07",1016
"96",0,0,11,1,0,0,0,0,0,0,1,"8/24/2017 16:40","5/8/2017 0:00","2/20/2019","9/27/2018 7:56",1017
"97",0,0,7,1,1,0,0,0,0,1,0,"8/24/2017 16:40","2/16/2017 0:00","7/24/2019","8/15/2019 12:34",1098
"98",0,0,1,0,1,0,0,0,0,1,0,"10/25/2017 15:16","6/26/2017 0:00","11/1/2018","11/2/2017 11:34",968
"99",0,0,19,1,0,0,0,0,1,0,0,"10/29/2018 14:54","","","4/22/2019 14:02",478
"100",0,0,1,1,0,0,0,0,1,0,0,"10/26/2017 8:23","","","11/8/2018 8:54",846
"101",0,0,0,1,0,0,0,0,0,0,1,"8/24/2017 16:40","2/8/2011 0:00","1/22/2019","",3298
"102",0,1,110,0,0,0,0,0,0,0,1,"8/24/2017 16:40","2/28/2017 0:00","9/6/2019","6/26/2019 12:26",1086
"103",0,0,233,1,1,0,0,0,0,0,1,"8/24/2017 16:40","1/15/2016 0:00","2/7/2019","4/12/2019 8:29",1496
"104",0,0,214,1,0,0,1,0,0,0,0,"12/18/2017 13:16","2/28/2017 0:00","11/8/2019","11/13/2019 15:48",1086
"105",0,0,10,1,0,0,0,0,0,0,1,"8/24/2017 16:40","1/28/2016 0:00","11/13/2018","1/14/2019 13:31",1483
"106",0,0,1,0,0,0,0,0,0,0,1,"8/24/2017 16:40","5/22/2012 0:00","11/16/2018","3/26/2018 10:30",2829
"107",0,0,5,0,0,0,0,0,0,0,1,"8/24/2017 16:40","2/16/2017 0:00","2/26/2019","10/18/2019 7:43",1098
"108",0,0,7,1,0,0,1,0,0,0,0,"8/24/2017 16:40","2/16/2017 0:00","8/26/2019","7/27/2018 10:06",1098
"109",0,1,87,1,1,0,0,1,0,0,0,"10/25/2017 17:52","1/16/2018 0:00","9/24/2019","10/18/2019 15:05",847
"110",0,0,0,0,0,0,0,0,0,0,1,"8/24/2017 16:40","5/12/2017 0:00","12/11/2018","",1013
"111",0,0,79,1,1,0,0,1,0,0,0,"8/23/2018 15:26","8/25/2017 0:00","9/5/2019","10/30/2019 12:06",908
"112",0,1,1,0,0,0,0,0,0,0,1,"8/3/2018 9:46","1/26/2017 0:00","11/21/2018","5/24/2019 8:45",1119
"113",0,0,3,1,0,0,0,0,0,0,1,"8/24/2017 16:40","9/28/2018 14:48","5/24/2019","7/27/2018 10:07",909
"114",0,0,8,1,0,0,0,0,0,0,1,"8/24/2017 16:40","2/7/2017 0:00","11/30/2018","6/5/2019 15:18",1107
"115",1,1,0,1,0,1,0,0,0,0,0,"8/24/2017 16:40","2/7/2017 0:00","9/13/2018","",583
"116",1,0,0,0,0,0,0,0,0,0,1,"8/24/2017 16:40","","","",NA
"117",0,0,1,0,0,0,0,0,0,0,1,"8/24/2017 16:40","6/18/2018 9:45","6/18/2019","9/12/2017 9:20",909
"118",1,0,1,0,0,0,0,0,0,1,0,"8/24/2017 16:40","8/13/2013 0:00","","8/27/2018 10:51",1840
"119",0,1,64,1,1,0,0,0,0,1,0,"8/24/2017 16:40","2/28/2017 0:00","7/26/2019","7/27/2019 7:35",1086
"120",1,1,0,1,0,0,0,0,0,0,1,"8/24/2017 16:40","5/10/2017 0:00","10/30/2018","",538
"121",1,1,1,0,0,1,0,0,0,0,0,"8/24/2017 16:40","2/16/2017 0:00","","4/5/2018 11:39",413
"122",0,0,0,0,0,0,0,0,0,0,1,"8/24/2017 16:40","5/10/2017 0:00","11/14/2018","",1015
"123",0,0,163,1,0,0,0,0,0,0,1,"8/24/2017 16:40","2/28/2017 0:00","11/30/2018","10/9/2018 9:21",1086
"124",0,0,10,0,0,0,0,0,0,0,1,"8/24/2017 16:40","1/26/2017 0:00","11/12/2018","9/17/2019 6:54",1119
"125",0,0,0,0,0,0,0,0,0,0,1,"8/24/2017 16:40","5/8/2017 0:00","11/6/2018","",1017
"126",0,0,12,0,0,0,0,0,0,0,1,"8/24/2017 16:40","9/20/2013 0:00","12/14/2018","11/4/2019 9:04",2343
"127",0,0,288,1,0,0,0,0,0,1,0,"8/24/2017 16:40","5/10/2017 0:00","12/17/2018","11/15/2019 11:00",1015
"128",0,1,3,0,0,0,0,0,0,0,1,"8/24/2017 16:40","7/13/2015 0:00","10/1/2018","1/15/2018 10:58",1682
"129",1,0,0,0,0,0,0,0,0,1,0,"8/24/2017 16:40","5/11/2017 0:00","","",NA
"130",0,0,1,1,1,0,0,0,0,1,0,"8/24/2017 16:40","2/7/2017 0:00","1/3/2019","5/2/2018 10:30",1107
"131",1,0,1,0,0,0,0,0,1,0,0,"8/24/2017 16:40","2/28/2017 0:00","","11/21/2017 14:43",266
"132",0,0,28,0,0,0,0,0,0,0,1,"8/24/2017 16:40","5/4/2017 0:00","2/11/2019","11/6/2019 15:47",1021
"133",0,0,0,0,0,0,0,0,0,0,1,"8/24/2017 16:40","12/16/2015 0:00","2/19/2019","",1526
"134",0,1,0,1,0,0,0,0,0,0,1,"8/24/2017 16:40","12/15/2016 0:00","5/2/2019","",1161
"135",1,1,0,1,0,0,0,0,0,1,0,"8/24/2017 16:40","5/12/2017 0:00","","",NA
"136",0,0,60,1,0,0,0,0,0,0,1,"8/24/2017 16:40","2/7/2017 0:00","2/21/2019","7/17/2019 8:05",1107
"137",1,0,1,0,0,0,0,0,1,0,0,"8/24/2017 16:40","2/16/2017 0:00","","5/1/2018 15:21",439
"138",0,0,5,0,0,0,0,0,0,0,1,"8/24/2017 16:40","12/15/2016 0:00","12/14/2018","9/12/2019 10:34",1161
"139",0,0,5,1,0,0,1,0,0,0,0,"8/24/2017 16:40","10/13/2011 0:00","11/13/2018","6/12/2018 17:18",3051
"140",1,0,0,0,0,0,0,0,0,0,1,"8/24/2017 16:40","","","",NA
"141",0,0,0,1,0,0,0,0,0,0,1,"8/24/2017 16:40","2/17/2015 0:00","9/21/2018","",1828
"142",1,0,2,1,0,0,0,0,1,0,0,"8/24/2017 16:40","3/13/2018 0:00","","7/17/2018 9:20",327
"143",0,0,1,0,0,0,0,0,0,0,1,"8/24/2017 16:40","3/10/2016 0:00","7/17/2019","9/20/2019 9:03",1441
"144",0,0,27,1,1,0,0,0,0,1,0,"8/24/2017 16:40","10/10/2013 0:00","5/1/2019","10/24/2019 12:59",2323
"145",0,0,76,1,0,0,0,0,0,0,1,"12/20/2017 12:55","1/27/2017 0:00","10/9/2018","4/24/2019 10:34",1118
